action,time,n
add,0.000000,4280
scope,0.000099,4280
content,0.000029,4280
add,0.000000,4281
scope,0.000100,4281
content,0.000029,4281
add,0.000000,4282
scope,0.000100,4282
content,0.000029,4282
add,0.000000,4283
scope,0.000100,4283
content,0.000029,4283
add,0.000000,4284
scope,0.000101,4284
content,0.000028,4284
add,0.000000,4285
scope,0.000099,4285
content,0.000030,4285
add,0.000000,4286
scope,0.000099,4286
content,0.000029,4286
add,0.000000,4287
scope,0.000101,4287
content,0.000030,4287
add,0.000001,4288
scope,0.000099,4288
content,0.000030,4288
add,0.000000,4289
scope,0.000102,4289
content,0.000029,4289
add,0.000000,4290
scope,0.000099,4290
content,0.000029,4290
add,0.000000,4291
scope,0.000116,4291
content,0.000029,4291
add,0.000000,4292
scope,0.000099,4292
content,0.000029,4292
add,0.000000,4293
scope,0.000099,4293
content,0.000029,4293
add,0.000000,4294
scope,0.000099,4294
content,0.000029,4294
add,0.000000,4295
scope,0.000099,4295
content,0.000029,4295
add,0.000000,4296
scope,0.000100,4296
content,0.000029,4296
add,0.000000,4297
scope,0.000100,4297
content,0.000030,4297
add,0.000001,4298
scope,0.000101,4298
content,0.000029,4298
add,0.000000,4299
scope,0.000101,4299
content,0.000029,4299
add,0.000000,4300
scope,0.000102,4300
content,0.000030,4300
add,0.000001,4301
scope,0.000101,4301
content,0.000029,4301
add,0.000000,4302
scope,0.000101,4302
content,0.000029,4302
add,0.000000,4303
scope,0.000101,4303
content,0.000029,4303
add,0.000000,4304
scope,0.000101,4304
content,0.000030,4304
add,0.000000,4305
scope,0.000102,4305
content,0.000029,4305
add,0.000000,4306
scope,0.000100,4306
content,0.000029,4306
add,0.000000,4307
scope,0.000101,4307
content,0.000029,4307
add,0.000000,4308
scope,0.000100,4308
content,0.000030,4308
add,0.000001,4309
scope,0.000101,4309
content,0.000029,4309
add,0.000000,4310
scope,0.000100,4310
content,0.000029,4310
add,0.000001,4311
scope,0.000104,4311
content,0.000030,4311
add,0.000001,4312
scope,0.000101,4312
content,0.000029,4312
add,0.000000,4313
scope,0.000105,4313
content,0.000029,4313
add,0.000000,4314
scope,0.000101,4314
content,0.000030,4314
add,0.000001,4315
scope,0.000100,4315
content,0.000029,4315
add,0.000000,4316
scope,0.000109,4316
content,0.000029,4316
add,0.000000,4317
scope,0.000101,4317
content,0.000029,4317
add,0.000000,4318
scope,0.000100,4318
content,0.000029,4318
add,0.000000,4319
scope,0.000101,4319
content,0.000029,4319
add,0.000000,4320
scope,0.000102,4320
content,0.000030,4320
add,0.000000,4321
scope,0.000101,4321
content,0.000030,4321
add,0.000000,4322
scope,0.000102,4322
content,0.000029,4322
add,0.000001,4323
scope,0.000101,4323
content,0.000030,4323
add,0.000000,4324
scope,0.000101,4324
content,0.000029,4324
add,0.000000,4325
scope,0.000101,4325
content,0.000028,4325
add,0.000000,4326
scope,0.000101,4326
content,0.000029,4326
add,0.000000,4327
scope,0.000100,4327
content,0.000030,4327
add,0.000000,4328
scope,0.000100,4328
content,0.000031,4328
add,0.000001,4329
scope,0.000101,4329
content,0.000029,4329
add,0.000000,4330
scope,0.000100,4330
content,0.000029,4330
add,0.000000,4331
scope,0.000101,4331
content,0.000029,4331
add,0.000001,4332
scope,0.000105,4332
content,0.000030,4332
add,0.000000,4333
scope,0.000101,4333
content,0.000029,4333
add,0.000000,4334
scope,0.000101,4334
content,0.000030,4334
add,0.000000,4335
scope,0.000102,4335
content,0.000030,4335
add,0.000001,4336
scope,0.000100,4336
content,0.000029,4336
add,0.000001,4337
scope,0.000100,4337
content,0.000030,4337
add,0.000000,4338
scope,0.000104,4338
content,0.000029,4338
add,0.000000,4339
scope,0.000101,4339
content,0.000030,4339
add,0.000001,4340
scope,0.000101,4340
content,0.000029,4340
add,0.000000,4341
scope,0.000110,4341
content,0.000029,4341
add,0.000000,4342
scope,0.000101,4342
content,0.000029,4342
add,0.000000,4343
scope,0.000101,4343
content,0.000029,4343
add,0.000000,4344
scope,0.000102,4344
content,0.000029,4344
add,0.000000,4345
scope,0.000104,4345
content,0.000030,4345
add,0.000000,4346
scope,0.000103,4346
content,0.000030,4346
add,0.000001,4347
scope,0.000103,4347
content,0.000029,4347
add,0.000001,4348
scope,0.000103,4348
content,0.000029,4348
add,0.000000,4349
scope,0.000101,4349
content,0.000029,4349
add,0.000001,4350
scope,0.000102,4350
content,0.000032,4350
add,0.000000,4351
scope,0.000101,4351
content,0.000030,4351
add,0.000000,4352
scope,0.000102,4352
content,0.000030,4352
add,0.000000,4353
scope,0.000102,4353
content,0.000029,4353
add,0.000000,4354
scope,0.000101,4354
content,0.000030,4354
add,0.000000,4355
scope,0.000102,4355
content,0.000030,4355
add,0.000001,4356
scope,0.000102,4356
content,0.000030,4356
add,0.000000,4357
scope,0.000106,4357
content,0.000030,4357
add,0.000000,4358
scope,0.000102,4358
content,0.000030,4358
add,0.000000,4359
scope,0.000102,4359
content,0.000029,4359
add,0.000000,4360
scope,0.000101,4360
content,0.000030,4360
add,0.000000,4361
scope,0.000102,4361
content,0.000030,4361
add,0.000000,4362
scope,0.000102,4362
content,0.000029,4362
add,0.000000,4363
scope,0.000101,4363
content,0.000029,4363
add,0.000000,4364
scope,0.000102,4364
content,0.000030,4364
add,0.000000,4365
scope,0.000103,4365
content,0.000029,4365
add,0.000000,4366
scope,0.000118,4366
content,0.000030,4366
add,0.000000,4367
scope,0.000103,4367
content,0.000029,4367
add,0.000000,4368
scope,0.000102,4368
content,0.000030,4368
add,0.000001,4369
scope,0.000102,4369
content,0.000029,4369
add,0.000000,4370
scope,0.000102,4370
content,0.000030,4370
add,0.000000,4371
scope,0.000102,4371
content,0.000030,4371
add,0.000000,4372
scope,0.000102,4372
content,0.000030,4372
add,0.000000,4373
scope,0.000102,4373
content,0.000034,4373
add,0.000001,4374
scope,0.000103,4374
content,0.000029,4374
add,0.000000,4375
scope,0.000105,4375
content,0.000030,4375
add,0.000000,4376
scope,0.000103,4376
content,0.000033,4376
add,0.000000,4377
scope,0.000104,4377
content,0.000029,4377
add,0.000000,4378
scope,0.000104,4378
content,0.000030,4378
add,0.000000,4379
scope,0.000103,4379
content,0.000030,4379
add,0.000000,4380
scope,0.000102,4380
content,0.000030,4380
add,0.000000,4381
scope,0.000104,4381
content,0.000030,4381
add,0.000000,4382
scope,0.000103,4382
content,0.000029,4382
add,0.000000,4383
scope,0.000105,4383
content,0.000030,4383
add,0.000000,4384
scope,0.000102,4384
content,0.000030,4384
add,0.000000,4385
scope,0.000104,4385
content,0.000030,4385
add,0.000000,4386
scope,0.000102,4386
content,0.000030,4386
add,0.000001,4387
scope,0.000103,4387
content,0.000030,4387
add,0.000000,4388
scope,0.000103,4388
content,0.000029,4388
add,0.000000,4389
scope,0.000103,4389
content,0.000029,4389
add,0.000000,4390
scope,0.000102,4390
content,0.000042,4390
add,0.000000,4391
scope,0.000105,4391
content,0.000030,4391
add,0.000001,4392
scope,0.000103,4392
content,0.000030,4392
add,0.000000,4393
scope,0.000102,4393
content,0.000031,4393
add,0.000000,4394
scope,0.000103,4394
content,0.000029,4394
add,0.000001,4395
scope,0.000106,4395
content,0.000030,4395
add,0.000001,4396
scope,0.000103,4396
content,0.000030,4396
add,0.000000,4397
scope,0.000103,4397
content,0.000029,4397
add,0.000000,4398
scope,0.000104,4398
content,0.000030,4398
add,0.000000,4399
scope,0.000104,4399
content,0.000030,4399
add,0.000000,4400
scope,0.000103,4400
content,0.000030,4400
add,0.000000,4401
scope,0.000103,4401
content,0.000030,4401
add,0.000001,4402
scope,0.000103,4402
content,0.000030,4402
add,0.000001,4403
scope,0.000107,4403
content,0.000030,4403
add,0.000001,4404
scope,0.000104,4404
content,0.000031,4404
add,0.000000,4405
scope,0.000102,4405
content,0.000030,4405
add,0.000000,4406
scope,0.000102,4406
content,0.000030,4406
add,0.000000,4407
scope,0.000103,4407
content,0.000029,4407
add,0.000000,4408
scope,0.000103,4408
content,0.000031,4408
add,0.000001,4409
scope,0.000104,4409
content,0.000029,4409
add,0.000000,4410
scope,0.000103,4410
content,0.000030,4410
add,0.000000,4411
scope,0.000102,4411
content,0.000030,4411
add,0.000000,4412
scope,0.000106,4412
content,0.000029,4412
add,0.000000,4413
scope,0.000103,4413
content,0.000030,4413
add,0.000000,4414
scope,0.000102,4414
content,0.000030,4414
add,0.000000,4415
scope,0.000116,4415
content,0.000029,4415
add,0.000001,4416
scope,0.000104,4416
content,0.000029,4416
add,0.000000,4417
scope,0.000103,4417
content,0.000029,4417
add,0.000001,4418
scope,0.000103,4418
content,0.000031,4418
add,0.000001,4419
scope,0.000103,4419
content,0.000030,4419
add,0.000000,4420
scope,0.000107,4420
content,0.000030,4420
add,0.000000,4421
scope,0.000103,4421
content,0.000030,4421
add,0.000000,4422
scope,0.000104,4422
content,0.000030,4422
add,0.000000,4423
scope,0.000103,4423
content,0.000030,4423
add,0.000001,4424
scope,0.000103,4424
content,0.000030,4424
add,0.000000,4425
scope,0.000106,4425
content,0.000030,4425
add,0.000000,4426
scope,0.000103,4426
content,0.000029,4426
add,0.000001,4427
scope,0.000104,4427
content,0.000030,4427
add,0.000000,4428
scope,0.000104,4428
content,0.000030,4428
add,0.000000,4429
scope,0.000103,4429
content,0.000030,4429
add,0.000000,4430
scope,0.000103,4430
content,0.000030,4430
add,0.000000,4431
scope,0.000103,4431
content,0.000030,4431
add,0.000000,4432
scope,0.000102,4432
content,0.000030,4432
add,0.000000,4433
scope,0.000103,4433
content,0.000031,4433
add,0.000000,4434
scope,0.000103,4434
content,0.000030,4434
add,0.000000,4435
scope,0.000102,4435
content,0.000030,4435
add,0.000000,4436
scope,0.000102,4436
content,0.000030,4436
add,0.000000,4437
scope,0.000106,4437
content,0.000030,4437
add,0.000000,4438
scope,0.000103,4438
content,0.000029,4438
add,0.000000,4439
scope,0.000103,4439
content,0.000042,4439
add,0.000001,4440
scope,0.000104,4440
content,0.000029,4440
add,0.000000,4441
scope,0.000103,4441
content,0.000031,4441
add,0.000001,4442
scope,0.000103,4442
content,0.000030,4442
add,0.000000,4443
scope,0.000103,4443
content,0.000030,4443
add,0.000000,4444
scope,0.000105,4444
content,0.000030,4444
add,0.000000,4445
scope,0.000104,4445
content,0.000030,4445
add,0.000000,4446
scope,0.000105,4446
content,0.000030,4446
add,0.000000,4447
scope,0.000105,4447
content,0.000030,4447
add,0.000000,4448
scope,0.000104,4448
content,0.000030,4448
add,0.000001,4449
scope,0.000105,4449
content,0.000033,4449
add,0.000000,4450
scope,0.000107,4450
content,0.000031,4450
add,0.000000,4451
scope,0.000105,4451
content,0.000030,4451
add,0.000000,4452
scope,0.000105,4452
content,0.000030,4452
add,0.000000,4453
scope,0.000104,4453
content,0.000030,4453
add,0.000000,4454
scope,0.000104,4454
content,0.000031,4454
add,0.000001,4455
scope,0.000106,4455
content,0.000030,4455
add,0.000000,4456
scope,0.000105,4456
content,0.000030,4456
add,0.000001,4457
scope,0.000105,4457
content,0.000031,4457
add,0.000000,4458
scope,0.000104,4458
content,0.000030,4458
add,0.000000,4459
scope,0.000103,4459
content,0.000031,4459
add,0.000000,4460
scope,0.000103,4460
content,0.000030,4460
add,0.000000,4461
scope,0.000104,4461
content,0.000030,4461
add,0.000000,4462
scope,0.000104,4462
content,0.000029,4462
add,0.000000,4463
scope,0.000105,4463
content,0.000030,4463
add,0.000000,4464
scope,0.000116,4464
content,0.000031,4464
add,0.000000,4465
scope,0.000105,4465
content,0.000030,4465
add,0.000000,4466
scope,0.000105,4466
content,0.000032,4466
add,0.000000,4467
scope,0.000108,4467
content,0.000030,4467
add,0.000000,4468
scope,0.000105,4468
content,0.000031,4468
add,0.000000,4469
scope,0.000104,4469
content,0.000030,4469
add,0.000000,4470
scope,0.000105,4470
content,0.000031,4470
add,0.000000,4471
scope,0.000104,4471
content,0.000030,4471
add,0.000000,4472
scope,0.000104,4472
content,0.000030,4472
add,0.000000,4473
scope,0.000104,4473
content,0.000033,4473
add,0.000001,4474
scope,0.000106,4474
content,0.000031,4474
add,0.000000,4475
scope,0.000105,4475
content,0.000033,4475
add,0.000000,4476
scope,0.000106,4476
content,0.000030,4476
add,0.000000,4477
scope,0.000105,4477
content,0.000032,4477
add,0.000000,4478
scope,0.000106,4478
content,0.000031,4478
add,0.000000,4479
scope,0.000109,4479
content,0.000030,4479
add,0.000000,4480
scope,0.000103,4480
content,0.000030,4480
add,0.000000,4481
scope,0.000103,4481
content,0.000031,4481
add,0.000000,4482
scope,0.000103,4482
content,0.000031,4482
add,0.000000,4483
scope,0.000104,4483
content,0.000030,4483
add,0.000000,4484
scope,0.000103,4484
content,0.000030,4484
add,0.000000,4485
scope,0.000108,4485
content,0.000030,4485
add,0.000000,4486
scope,0.000105,4486
content,0.000031,4486
add,0.000000,4487
scope,0.000105,4487
content,0.000030,4487
add,0.000000,4488
scope,0.000118,4488
content,0.000031,4488
add,0.000000,4489
scope,0.000104,4489
content,0.000030,4489
add,0.000001,4490
scope,0.000107,4490
content,0.000030,4490
add,0.000000,4491
scope,0.000107,4491
content,0.000030,4491
add,0.000000,4492
scope,0.000108,4492
content,0.000031,4492
add,0.000000,4493
scope,0.000106,4493
content,0.000031,4493
add,0.000000,4494
scope,0.000106,4494
content,0.000031,4494
add,0.000001,4495
scope,0.000106,4495
content,0.000031,4495
add,0.000000,4496
scope,0.000106,4496
content,0.000031,4496
add,0.000000,4497
scope,0.000118,4497
content,0.000031,4497
add,0.000001,4498
scope,0.000106,4498
content,0.000031,4498
add,0.000000,4499
scope,0.000106,4499
content,0.000030,4499
add,0.000000,4500
scope,0.000105,4500
content,0.000031,4500
add,0.000000,4501
scope,0.000105,4501
content,0.000031,4501
add,0.000000,4502
scope,0.000104,4502
content,0.000030,4502
add,0.000000,4503
scope,0.000111,4503
content,0.000031,4503
add,0.000000,4504
scope,0.000106,4504
content,0.000031,4504
add,0.000000,4505
scope,0.000107,4505
content,0.000031,4505
add,0.000000,4506
scope,0.000106,4506
content,0.000032,4506
add,0.000001,4507
scope,0.000106,4507
content,0.000031,4507
add,0.000000,4508
scope,0.000105,4508
content,0.000030,4508
add,0.000000,4509
scope,0.000108,4509
content,0.000031,4509
add,0.000000,4510
scope,0.000105,4510
content,0.000031,4510
add,0.000001,4511
scope,0.000106,4511
content,0.000043,4511
add,0.000000,4512
scope,0.000106,4512
content,0.000030,4512
add,0.000000,4513
scope,0.000105,4513
content,0.000031,4513
add,0.000000,4514
scope,0.000104,4514
content,0.000032,4514
add,0.000000,4515
scope,0.000105,4515
content,0.000030,4515
add,0.000000,4516
scope,0.000105,4516
content,0.000032,4516
add,0.000000,4517
scope,0.000106,4517
content,0.000030,4517
add,0.000000,4518
scope,0.000108,4518
content,0.000031,4518
add,0.000000,4519
scope,0.000105,4519
content,0.000030,4519
add,0.000000,4520
scope,0.000105,4520
content,0.000031,4520
add,0.000001,4521
scope,0.000109,4521
content,0.000030,4521
add,0.000000,4522
scope,0.000105,4522
content,0.000030,4522
add,0.000000,4523
scope,0.000106,4523
content,0.000030,4523
add,0.000001,4524
scope,0.000107,4524
content,0.000030,4524
add,0.000000,4525
scope,0.000106,4525
content,0.000031,4525
add,0.000000,4526
scope,0.000106,4526
content,0.000031,4526
add,0.000001,4527
scope,0.000106,4527
content,0.000030,4527
add,0.000000,4528
scope,0.000104,4528
content,0.000031,4528
add,0.000000,4529
scope,0.000106,4529
content,0.000031,4529
add,0.000000,4530
scope,0.000105,4530
content,0.000031,4530
add,0.000000,4531
scope,0.000104,4531
content,0.000031,4531
add,0.000000,4532
scope,0.000105,4532
content,0.000034,4532
add,0.000000,4533
scope,0.000105,4533
content,0.000031,4533
add,0.000001,4534
scope,0.000105,4534
content,0.000031,4534
add,0.000000,4535
scope,0.000105,4535
content,0.000044,4535
add,0.000000,4536
scope,0.000108,4536
content,0.000031,4536
add,0.000000,4537
scope,0.000106,4537
content,0.000031,4537
add,0.000000,4538
scope,0.000107,4538
content,0.000031,4538
add,0.000001,4539
scope,0.000107,4539
content,0.000032,4539
add,0.000000,4540
scope,0.000107,4540
content,0.000031,4540
add,0.000001,4541
scope,0.000108,4541
content,0.000031,4541
add,0.000000,4542
scope,0.000108,4542
content,0.000031,4542
add,0.000000,4543
scope,0.000109,4543
content,0.000031,4543
add,0.000000,4544
scope,0.000107,4544
content,0.000031,4544
add,0.000001,4545
scope,0.000107,4545
content,0.000031,4545
add,0.000000,4546
scope,0.000107,4546
content,0.000032,4546
add,0.000001,4547
scope,0.000107,4547
content,0.000031,4547
add,0.000000,4548
scope,0.000107,4548
content,0.000032,4548
add,0.000000,4549
scope,0.000107,4549
content,0.000031,4549
add,0.000000,4550
scope,0.000107,4550
content,0.000032,4550
add,0.000000,4551
scope,0.000108,4551
content,0.000031,4551
add,0.000000,4552
scope,0.000106,4552
content,0.000031,4552
add,0.000000,4553
scope,0.000107,4553
content,0.000030,4553
add,0.000000,4554
scope,0.000107,4554
content,0.000031,4554
add,0.000000,4555
scope,0.000107,4555
content,0.000032,4555
add,0.000001,4556
scope,0.000105,4556
content,0.000031,4556
add,0.000001,4557
scope,0.000107,4557
content,0.000031,4557
add,0.000000,4558
scope,0.000107,4558
content,0.000030,4558
add,0.000000,4559
scope,0.000107,4559
content,0.000033,4559
add,0.000001,4560
scope,0.000108,4560
content,0.000030,4560
add,0.000001,4561
scope,0.000107,4561
content,0.000030,4561
add,0.000001,4562
scope,0.000109,4562
content,0.000031,4562
add,0.000000,4563
scope,0.000107,4563
content,0.000032,4563
add,0.000000,4564
scope,0.000111,4564
content,0.000030,4564
add,0.000000,4565
scope,0.000108,4565
content,0.000031,4565
add,0.000001,4566
scope,0.000108,4566
content,0.000031,4566
add,0.000001,4567
scope,0.000108,4567
content,0.000031,4567
add,0.000000,4568
scope,0.000108,4568
content,0.000032,4568
add,0.000000,4569
scope,0.000107,4569
content,0.000030,4569
add,0.000000,4570
scope,0.000107,4570
content,0.000031,4570
add,0.000000,4571
scope,0.000107,4571
content,0.000030,4571
add,0.000001,4572
scope,0.000108,4572
content,0.000031,4572
add,0.000001,4573
scope,0.000110,4573
content,0.000035,4573
add,0.000000,4574
scope,0.000107,4574
content,0.000033,4574
add,0.000000,4575
scope,0.000108,4575
content,0.000033,4575
add,0.000000,4576
scope,0.000106,4576
content,0.000031,4576
add,0.000000,4577
scope,0.000106,4577
content,0.000031,4577
add,0.000001,4578
scope,0.000106,4578
content,0.000037,4578
add,0.000000,4579
scope,0.000106,4579
content,0.000031,4579
add,0.000001,4580
scope,0.000107,4580
content,0.000031,4580
add,0.000000,4581
scope,0.000107,4581
content,0.000030,4581
add,0.000000,4582
scope,0.000107,4582
content,0.000031,4582
add,0.000000,4583
scope,0.000122,4583
content,0.000031,4583
add,0.000000,4584
scope,0.000109,4584
content,0.000033,4584
add,0.000000,4585
scope,0.000107,4585
content,0.000032,4585
add,0.000000,4586
scope,0.000109,4586
content,0.000032,4586
add,0.000001,4587
scope,0.000109,4587
content,0.000031,4587
add,0.000000,4588
scope,0.000107,4588
content,0.000031,4588
add,0.000000,4589
scope,0.000108,4589
content,0.000031,4589
add,0.000000,4590
scope,0.000114,4590
content,0.000031,4590
add,0.000000,4591
scope,0.000109,4591
content,0.000032,4591
add,0.000001,4592
scope,0.000108,4592
content,0.000031,4592
add,0.000000,4593
scope,0.000108,4593
content,0.000032,4593
add,0.000001,4594
scope,0.000108,4594
content,0.000031,4594
add,0.000000,4595
scope,0.000107,4595
content,0.000031,4595
add,0.000000,4596
scope,0.000107,4596
content,0.000031,4596
add,0.000000,4597
scope,0.000109,4597
content,0.000032,4597
add,0.000001,4598
scope,0.000108,4598
content,0.000031,4598
add,0.000000,4599
scope,0.000108,4599
content,0.000031,4599
add,0.000000,4600
scope,0.000108,4600
content,0.000031,4600
add,0.000000,4601
scope,0.000108,4601
content,0.000031,4601
add,0.000000,4602
scope,0.000109,4602
content,0.000031,4602
add,0.000001,4603
scope,0.000108,4603
content,0.000032,4603
add,0.000001,4604
scope,0.000111,4604
content,0.000032,4604
add,0.000001,4605
scope,0.000108,4605
content,0.000031,4605
add,0.000000,4606
scope,0.000123,4606
content,0.000031,4606
add,0.000000,4607
scope,0.000108,4607
content,0.000032,4607
add,0.000000,4608
scope,0.000108,4608
content,0.000031,4608
add,0.000001,4609
scope,0.000108,4609
content,0.000031,4609
add,0.000000,4610
scope,0.000107,4610
content,0.000031,4610
add,0.000000,4611
scope,0.000108,4611
content,0.000032,4611
add,0.000001,4612
scope,0.000107,4612
content,0.000031,4612
add,0.000001,4613
scope,0.000109,4613
content,0.000031,4613
add,0.000000,4614
scope,0.000109,4614
content,0.000032,4614
add,0.000000,4615
scope,0.000111,4615
content,0.000032,4615
add,0.000001,4616
scope,0.000108,4616
content,0.000031,4616
add,0.000001,4617
scope,0.000108,4617
content,0.000032,4617
add,0.000001,4618
scope,0.000108,4618
content,0.000032,4618
add,0.000000,4619
scope,0.000109,4619
content,0.000031,4619
add,0.000000,4620
scope,0.000109,4620
content,0.000032,4620
add,0.000000,4621
scope,0.000108,4621
content,0.000031,4621
add,0.000001,4622
scope,0.000108,4622
content,0.000032,4622
add,0.000000,4623
scope,0.000108,4623
content,0.000031,4623
add,0.000000,4624
scope,0.000107,4624
content,0.000031,4624
add,0.000000,4625
scope,0.000109,4625
content,0.000031,4625
add,0.000000,4626
scope,0.000107,4626
content,0.000031,4626
add,0.000000,4627
scope,0.000107,4627
content,0.000031,4627
add,0.000000,4628
scope,0.000107,4628
content,0.000032,4628
add,0.000000,4629
scope,0.000109,4629
content,0.000042,4629
add,0.000000,4630
scope,0.000113,4630
content,0.000031,4630
add,0.000000,4631
scope,0.000109,4631
content,0.000032,4631
add,0.000000,4632
scope,0.000108,4632
content,0.000032,4632
add,0.000000,4633
scope,0.000112,4633
content,0.000031,4633
add,0.000000,4634
scope,0.000108,4634
content,0.000032,4634
add,0.000000,4635
scope,0.000107,4635
content,0.000032,4635
add,0.000000,4636
scope,0.000111,4636
content,0.000031,4636
add,0.000001,4637
scope,0.000109,4637
content,0.000032,4637
add,0.000001,4638
scope,0.000110,4638
content,0.000032,4638
add,0.000000,4639
scope,0.000109,4639
content,0.000031,4639
add,0.000001,4640
scope,0.000108,4640
content,0.000031,4640
add,0.000000,4641
scope,0.000108,4641
content,0.000032,4641
add,0.000000,4642
scope,0.000108,4642
content,0.000032,4642
add,0.000000,4643
scope,0.000108,4643
content,0.000032,4643
add,0.000000,4644
scope,0.000108,4644
content,0.000033,4644
add,0.000001,4645
scope,0.000113,4645
content,0.000031,4645
add,0.000001,4646
scope,0.000111,4646
content,0.000032,4646
add,0.000000,4647
scope,0.000111,4647
content,0.000032,4647
add,0.000000,4648
scope,0.000111,4648
content,0.000033,4648
add,0.000000,4649
scope,0.000110,4649
content,0.000031,4649
add,0.000001,4650
scope,0.000111,4650
content,0.000032,4650
add,0.000000,4651
scope,0.000109,4651
content,0.000031,4651
add,0.000001,4652
scope,0.000108,4652
content,0.000032,4652
add,0.000000,4653
scope,0.000123,4653
content,0.000032,4653
add,0.000000,4654
scope,0.000111,4654
content,0.000032,4654
add,0.000000,4655
scope,0.000112,4655
content,0.000032,4655
add,0.000000,4656
scope,0.000115,4656
content,0.000032,4656
add,0.000001,4657
scope,0.000110,4657
content,0.000032,4657
add,0.000001,4658
scope,0.000110,4658
content,0.000033,4658
add,0.000000,4659
scope,0.000110,4659
content,0.000032,4659
add,0.000000,4660
scope,0.000110,4660
content,0.000033,4660
add,0.000001,4661
scope,0.000110,4661
content,0.000032,4661
add,0.000001,4662
scope,0.000112,4662
content,0.000032,4662
add,0.000001,4663
scope,0.000109,4663
content,0.000032,4663
add,0.000001,4664
scope,0.000109,4664
content,0.000031,4664
add,0.000001,4665
scope,0.000109,4665
content,0.000032,4665
add,0.000000,4666
scope,0.000111,4666
content,0.000033,4666
add,0.000000,4667
scope,0.000112,4667
content,0.000032,4667
add,0.000000,4668
scope,0.000114,4668
content,0.000031,4668
add,0.000000,4669
scope,0.000110,4669
content,0.000034,4669
add,0.000000,4670
scope,0.000114,4670
content,0.000031,4670
add,0.000000,4671
scope,0.000109,4671
content,0.000032,4671
add,0.000000,4672
scope,0.000109,4672
content,0.000032,4672
add,0.000000,4673
scope,0.000112,4673
content,0.000031,4673
add,0.000000,4674
scope,0.000108,4674
content,0.000032,4674
add,0.000000,4675
scope,0.000108,4675
content,0.000042,4675
add,0.000000,4676
scope,0.000115,4676
content,0.000032,4676
add,0.000000,4677
scope,0.000111,4677
content,0.000032,4677
add,0.000000,4678
scope,0.000110,4678
content,0.000033,4678
add,0.000000,4679
scope,0.000111,4679
content,0.000032,4679
add,0.000001,4680
scope,0.000110,4680
content,0.000032,4680
add,0.000000,4681
scope,0.000111,4681
content,0.000032,4681
add,0.000000,4682
scope,0.000112,4682
content,0.000032,4682
add,0.000001,4683
scope,0.000116,4683
content,0.000033,4683
add,0.000000,4684
scope,0.000111,4684
content,0.000032,4684
add,0.000000,4685
scope,0.000119,4685
content,0.000032,4685
add,0.000000,4686
scope,0.000112,4686
content,0.000033,4686
add,0.000001,4687
scope,0.000112,4687
content,0.000032,4687
add,0.000000,4688
scope,0.000110,4688
content,0.000032,4688
add,0.000001,4689
scope,0.000112,4689
content,0.000033,4689
add,0.000000,4690
scope,0.000112,4690
content,0.000033,4690
add,0.000001,4691
scope,0.000112,4691
content,0.000032,4691
add,0.000000,4692
scope,0.000112,4692
content,0.000033,4692
add,0.000000,4693
scope,0.000111,4693
content,0.000032,4693
add,0.000000,4694
scope,0.000112,4694
content,0.000032,4694
add,0.000000,4695
scope,0.000112,4695
content,0.000032,4695
add,0.000000,4696
scope,0.000115,4696
content,0.000032,4696
add,0.000000,4697
scope,0.000111,4697
content,0.000032,4697
add,0.000000,4698
scope,0.000135,4698
content,0.000033,4698
add,0.000000,4699
scope,0.000114,4699
content,0.000033,4699
add,0.000000,4700
scope,0.000110,4700
content,0.000032,4700
add,0.000000,4701
scope,0.000112,4701
content,0.000031,4701
add,0.000001,4702
scope,0.000117,4702
content,0.000033,4702
add,0.000001,4703
scope,0.000113,4703
content,0.000032,4703
add,0.000000,4704
scope,0.000111,4704
content,0.000032,4704
add,0.000000,4705
scope,0.000113,4705
content,0.000032,4705
add,0.000001,4706
scope,0.000113,4706
content,0.000033,4706
add,0.000001,4707
scope,0.000114,4707
content,0.000032,4707
add,0.000000,4708
scope,0.000111,4708
content,0.000032,4708
add,0.000000,4709
scope,0.000113,4709
content,0.000033,4709
add,0.000000,4710
scope,0.000112,4710
content,0.000033,4710
add,0.000000,4711
scope,0.000113,4711
content,0.000032,4711
add,0.000000,4712
scope,0.000111,4712
content,0.000032,4712
add,0.000000,4713
scope,0.000115,4713
content,0.000033,4713
add,0.000000,4714
scope,0.000111,4714
content,0.000032,4714
add,0.000000,4715
scope,0.000112,4715
content,0.000032,4715
add,0.000000,4716
scope,0.000111,4716
content,0.000032,4716
add,0.000000,4717
scope,0.000113,4717
content,0.000033,4717
add,0.000000,4718
scope,0.000113,4718
content,0.000033,4718
add,0.000000,4719
scope,0.000114,4719
content,0.000032,4719
add,0.000001,4720
scope,0.000111,4720
content,0.000045,4720
add,0.000000,4721
scope,0.000113,4721
content,0.000033,4721
add,0.000000,4722
scope,0.000111,4722
content,0.000032,4722
add,0.000000,4723
scope,0.000112,4723
content,0.000032,4723
add,0.000000,4724
scope,0.000116,4724
content,0.000033,4724
add,0.000000,4725
scope,0.000113,4725
content,0.000033,4725
add,0.000001,4726
scope,0.000112,4726
content,0.000032,4726
add,0.000001,4727
scope,0.000113,4727
content,0.000033,4727
add,0.000001,4728
scope,0.000112,4728
content,0.000034,4728
add,0.000001,4729
scope,0.000114,4729
content,0.000034,4729
add,0.000000,4730
scope,0.000115,4730
content,0.000032,4730
add,0.000000,4731
